交易币对,买入时间,买入价格,买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
LTC_USDT,2020-01-07 00:00:00+00:00,45.39,26.149091236255632,2020-01-10 00:00:00+00:00,44.8,26.149091236255632,1186.9072512136431,2.3583865385978955,-17.79,11882.68,-0.15%,-1.50%
ADA_USDT,2020-01-08 01:00:00+00:00,0.03833,31059.888517472333,2020-01-11 00:00:00+00:00,0.03684,31059.888517472333,1190.5255268747146,2.3347718198583953,-48.61,11834.06,-0.41%,-4.08%
LINK_USDT,2020-01-08 07:00:00+00:00,2.2511,528.811014313903,2020-01-11 00:00:00+00:00,2.2482,528.811014313903,1190.4064743220272,2.379279396702544,-3.91,11830.15,-0.03%,-0.33%
ETC_USDT,2020-01-09 01:00:00+00:00,5.1085,232.88433873224577,2020-01-12 00:00:00+00:00,5.5999,232.88433873224577,1189.6896444136776,2.4938186528803805,111.95,11942.10,0.94%,9.41%
BCH_USDT,2020-01-10 12:00:00+00:00,251.93,4.715241262007536,2020-01-13 00:00:00+00:00,265.23,4.715241262007536,1187.9107311375587,2.4385341710598176,60.27,12002.37,0.50%,5.07%
LTC_USDT,2020-01-10 15:00:00+00:00,48.72,24.37996592907318,2020-01-13 00:00:00+00:00,50.55,24.37996592907318,1187.7919400644453,2.4201992177790945,42.20,12044.57,0.35%,3.55%
EOS_USDT,2020-01-10 20:00:00+00:00,2.949,402.73759269936886,2020-01-13 00:00:00+00:00,3.1353,402.73759269936886,1187.6731608704388,2.4503763352607697,72.58,12117.15,0.60%,6.11%
DASH_USDT,2020-01-11 01:00:00+00:00,58.27,20.29414455207758,2020-01-14 00:00:00+00:00,70.75,20.29414455207758,1182.5398030495605,2.6183505301090495,250.65,12367.80,2.03%,21.20%
BNB_USDT,2020-01-11 17:00:00+00:00,15.1531,78.02385696090892,2020-01-14 00:00:00+00:00,15.2999,78.02385696090892,1182.303306914349,2.3760605160305595,9.08,12376.88,0.07%,0.77%
ETH_USDT,2020-01-11 17:00:00+00:00,146.53,8.069484399571799,2020-01-14 00:00:00+00:00,145.36,8.069484399571799,1182.4215490692557,2.3554018013910127,-11.80,12365.08,-0.10%,-1.00%
ZEC_USDT,2020-01-13 11:00:00+00:00,37.22,32.545938546329666,2020-01-16 00:00:00+00:00,53.95,32.545938546329666,1211.3598326943902,2.967213217268876,541.53,12906.61,4.20%,44.70%
